seq,latitude,longitude,x,y,option
2361,37.2888988,127.1070141,332200.736386329,4128601.3253541,0
2364,37.2889009,127.1070185,332201.131117572,4128601.55054901,0
2367,37.2889034,127.1070226,332201.500142083,4128601.82065843,0
2370,37.2889063,127.1070261,332201.81686447,4128602.1362149,0
2373,37.2889096,127.1070294,332202.116745246,4128602.49650836,0
2376,37.288913,127.1070322,332202.37252253,4128602.86878486,0
2379,37.2889166,127.1070348,332202.611013869,4128603.26360738,0
2382,37.2889202,127.1070371,332202.822909807,4128603.65896242,0
2385,37.2889237,127.1070397,332203.061178938,4128604.04268946,0
2388,37.2889274,127.1070423,332203.299892381,4128604.44860748,0
2391,37.2889309,127.107045,332203.547026597,4128604.83215702,0
2394,37.2889346,127.1070475,332203.776874871,4128605.23825257,0
2397,37.2889383,127.1070502,332204.024453373,4128605.6439931,0
2400,37.288942,127.1070529,332204.272031855,4128606.04973365,0
2404,37.2889449,127.1070564,332204.588753982,4128606.36529021,0
2407,37.2889485,127.1070592,332204.844975375,4128606.75975777,0
2410,37.2889521,127.1070621,332205.110061866,4128607.15404783,0
2413,37.2889555,127.1070651,332205.38356913,4128607.52596941,0
2416,37.2889589,127.1070683,332205.674806613,4128607.89753599,0
2419,37.2889622,127.1070716,332205.974687031,4128608.25782958,0
2422,37.2889652,127.1070752,332206.3004963,4128608.58430419,0
2425,37.2889681,127.1070792,332206.661543868,4128608.8989733,0
2428,37.2889706,127.1070834,332207.039433,4128609.16890545,0
2431,37.2889729,127.1070878,332207.434608029,4128609.41629163,0
2434,37.2889751,127.1070924,332207.847291114,4128609.65222732,0
2437,37.288977,127.1070971,332208.268172814,4128609.85469905,0
2440,37.2889783,127.1071022,332208.723182014,4128609.98988784,0
2443,37.288979,127.1071072,332209.167993124,4128610.05868121,0
2446,37.2889793,127.1071123,332209.620780715,4128610.08291512,0
2449,37.2889792,127.1071173,332210.063814548,4128610.06294459,0
2452,37.2889789,127.1071225,332210.524134307,4128610.0204281,0
2455,37.2889785,127.1071275,332210.966501673,4128609.96717114,0
2458,37.2889782,127.1071326,332211.417956322,4128609.9248322,0
2461,37.2889777,127.1071378,332211.87783178,4128609.8601248,0
2464,37.2889773,127.107143,332212.337929401,4128609.80651291,0
2467,37.2889768,127.1071482,332212.797804871,4128609.74180556,0
2470,37.2889762,127.1071534,332213.257458192,4128609.66600274,0
2473,37.2889755,127.1071585,332213.70802425,4128609.57928195,0
2476,37.2889749,127.1071637,332214.167677586,4128609.50347919,0
2479,37.2889741,127.1071688,332214.618021506,4128609.40566296,0
2482,37.2889732,127.1071738,332215.059278165,4128609.29692875,0
2485,37.2889722,127.1071788,332215.500312682,4128609.17709908,0
2488,37.2889711,127.1071837,332215.93225994,4128609.04635143,0
2491,37.2889696,127.1071885,332216.354453492,4128608.87139933,0
2494,37.288968,127.1071934,332216.785290033,4128608.68517427,0
2497,37.2889665,127.1071983,332217.21634874,4128608.51004472,0
2500,37.2889648,127.1072032,332217.646963172,4128608.31272421,0
2503,37.2889631,127.1072081,332218.07757762,4128608.11540372,0
2506,37.2889614,127.107213,332218.508192086,4128607.91808326,0
2509,37.2889595,127.1072178,332218.929497162,4128607.69874933,0
2512,37.2889576,127.1072225,332219.341937134,4128607.4795929,0
2515,37.2889557,127.1072271,332219.745512004,4128607.26061399,0
2518,37.2889537,127.1072317,332220.148864754,4128607.03053961,0
2521,37.2889515,127.1072362,332220.54290811,4128606.77845175,0
2524,37.2889493,127.1072406,332220.92808637,4128606.5265414,0
2527,37.2889468,127.1072449,332221.3037331,4128606.24152208,0
2530,37.2889444,127.1072491,332221.670736873,4128605.96777576,0
2533,37.2889415,127.1072529,332222.001169465,4128605.63926195,0
2536,37.2889385,127.1072565,332222.313649694,4128605.30000763,0
2539,37.2889354,127.1072598,332222.599312433,4128604.9501903,0
2542,37.288932,127.1072628,332222.857713401,4128604.56761896,0
2545,37.2889285,127.1072654,332223.080431749,4128604.17466208,0
2548,37.2889248,127.1072676,332223.267245337,4128603.76022417,0
2551,37.2889209,127.1072697,332223.444749536,4128603.32377277,0
2554,37.288917,127.1072715,332223.595658377,4128602.88785383,0
2557,37.288913,127.1072733,332223.746345094,4128602.4408394,0
2560,37.2889089,127.1072749,332223.879079437,4128601.98308445,0
2563,37.2889049,127.1072763,332223.994305676,4128601.53677997,0
2566,37.2889006,127.1072773,332224.073404998,4128601.05789896,0
2569,37.2888965,127.1072779,332224.117488092,4128600.60191887,0
2572,37.2888923,127.1072782,332224.134753663,4128600.13537575,0
2575,37.2888881,127.107278,332224.107693587,4128599.66972005,0
2578,37.2888839,127.1072775,332224.054038116,4128599.20459681,0
2581,37.2888799,127.1072765,332223.956501263,4128598.76255199,0
2584,37.288876,127.1072749,332223.805995751,4128598.33266757,0
