seq,latitude,longitude,x,y,option
9902,35.9122091,128.8056605,482465.239848509,3974228.67328261,0
9905,35.9122116,128.805657,482464.924603669,3974228.95119387,0
9908,35.9122143,128.8056537,482464.627448493,3974229.25125188,0
9911,35.912217,128.8056503,482464.321270581,3974229.55132784,0
9914,35.9122197,128.8056469,482464.01509269,3974229.85140383,0
9917,35.9122224,128.8056435,482463.708914822,3974230.15147981,0
9920,35.9122248,128.8056399,482463.384625255,3974230.41831776,0
9923,35.9122273,128.8056364,482463.069380533,3974230.69622909,0
9926,35.9122298,128.805633,482462.763158588,3974230.97412247,0
9929,35.9122323,128.8056295,482462.447913904,3974231.25203382,0
9932,35.9122348,128.805626,482462.132669242,3974231.52994519,0
9935,35.9122355,128.8056197,482461.564390214,3974231.60871553,0
9938,35.9122361,128.8056142,482461.068271159,3974231.67625096,0
9939,35.9122455,128.8056053,482460.267320835,3974232.72043299,0
9943,35.9122486,128.8056009,482459.871003957,3974233.06505396,0
9947,35.9122518,128.8055965,482459.474709181,3974233.42076625,0
9951,35.9122548,128.805592,482459.069347538,3974233.75431389,0
9955,35.9122579,128.8055877,482458.682053503,3974234.09891695,0
9959,35.9122609,128.8055835,482458.303760174,3974234.43241074,0
9963,35.9122638,128.8055791,482457.9073993,3974234.75484916,0
9967,35.9122669,128.8055746,482457.502059853,3974235.09948819,0
9970,35.9122692,128.8055711,482457.186771332,3974235.35521709,0
9973,35.9122718,128.8055676,482456.871549059,3974235.64421996,0
9976,35.9122742,128.8055641,482456.556282652,3974235.9110402,0
9979,35.9122766,128.8055606,482456.241016267,3974236.17786046,0
9982,35.9122791,128.805557,482455.916749225,3974236.45579,0
9985,35.9122815,128.8055534,482455.59246013,3974236.72262824,0
9988,35.9122839,128.8055499,482455.277193799,3974236.98944853,0
9991,35.9122863,128.8055464,482454.961927489,3974237.25626884,0
9995,35.9122895,128.8055419,482454.556610352,3974237.61199932,0
9999,35.9122925,128.8055373,482454.142226342,3974237.94556515,0
10003,35.9122954,128.805533,482453.754888522,3974238.26798579,0
10007,35.9122979,128.8055294,482453.430621636,3974238.54591543,0
10013,35.9123003,128.805526,482453.124378186,3974238.81271783,0
10019,35.9123029,128.8055222,482452.782087929,3974239.10177474,0
10024,35.9123056,128.8055182,482452.421774286,3974239.40195891,0
10029,35.9123082,128.8055143,482452.07046133,3974239.69103381,0
10035,35.912311,128.8055102,482451.701147071,3974240.0023273,0
10040,35.9123133,128.8055067,482451.385858896,3974240.25805641,0
10045,35.9123157,128.8055031,482451.061570073,3974240.52489482,0
10051,35.9123184,128.8054992,482450.710279292,3974240.82506109,0
10056,35.9123208,128.8054957,482450.395013257,3974241.09188156,0
10061,35.9123233,128.805492,482450.061723839,3974241.36982929,0
10066,35.9123258,128.8054881,482449.710388953,3974241.64781297,0
10071,35.9123286,128.805484,482449.341074862,3974241.95910655,0
10075,35.9123309,128.8054804,482449.016764077,3974242.21485372,0
10079,35.9123334,128.8054769,482448.701520233,3974242.49276557,0
10083,35.9123357,128.8054734,482448.386232229,3974242.74849479,0
10088,35.9123385,128.8054693,482448.01691823,3974243.05978843,0
10093,35.9123412,128.8054654,482447.665627653,3974243.35995483,0
10098,35.9123439,128.8054613,482447.296291615,3974243.66015718,0
10103,35.9123468,128.8054572,482446.926999782,3974243.98254219,0
10108,35.9123497,128.8054531,482446.557707973,3974244.30492721,0
10113,35.9123527,128.805449,482446.188438282,3974244.63840357,0
10118,35.9123556,128.8054448,482445.810123793,3974244.96080659,0
10122,35.912358,128.8054413,482445.494858052,3974245.22762724,0
10127,35.9123609,128.8054371,482445.116543611,3974245.55003029,0
10132,35.9123632,128.8054335,482444.792233083,3974245.80577761,0
10139,35.9123661,128.8054296,482444.44098691,3974246.12812678,0
10143,35.9123685,128.8054261,482444.125721255,3974246.39494748,0
10147,35.9123715,128.8054217,482443.729383526,3974246.72847786,0
10150,35.9123743,128.8054177,482443.369092596,3974247.03975372,0
10153,35.9123773,128.8054133,482442.972754929,3974247.37328414,0
10156,35.9123803,128.8054088,482442.567394549,3974247.70683254,0
10159,35.9123831,128.8054047,482442.198080966,3974248.01812643,0
10162,35.9123856,128.805401,482441.864792065,3974248.29607448,0
10166,35.9123885,128.8053967,482441.477455152,3974248.61849566,0
10170,35.9123911,128.8053929,482441.135165657,3974248.90755303,0
10174,35.9123937,128.805389,482440.783853451,3974249.19662839,0
10178,35.9123967,128.8053846,482440.387515978,3974249.53015892,0
10181,35.9123992,128.8053808,482440.045204456,3974249.80812501,0
10184,35.912402,128.8053768,482439.684913783,3974250.11940103,0
10187,35.9124049,128.8053727,482439.315622497,3974250.44178636,0
10190,35.9124079,128.8053685,482438.937330605,3974250.77528101,0
